n,m,tau_a,tau_b,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,bin_a,asym_difficulty
7.0,9.0,0.0,2.0,0.6666666666666666,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,3.0,0.8888888888888888,0.3333333333333333,4782969.0,4566456.0,4566456.0,0.9547325102880658,1.0,"(0.95, 1.0]",-0.04526748971193417
7.0,9.0,0.0,6.0,0.3333333333333333,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,1.0,2.0,1.0,1.0,1.0,823543.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,1.0,1.0,0.7777777777777777,0.6666666666666666,57.0,4620288.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,3.0,0.8888888888888888,0.4444444444444444,4782969.0,3954096.0,3954096.0,0.8267032464563329,1.0,"(0.8, 0.85]",-0.17329675354366714
7.0,9.0,0.0,2.0,0.6666666666666666,0.1111111111111111,4782969.0,4782841.0,4782841.0,0.9999732383797596,1.0,"(0.95, 1.0]",-2.6761620240400852e-05
7.0,9.0,0.0,1.0,0.3333333333333333,0.8888888888888888,4782969.0,2097152.0,2097152.0,0.4384623860200641,1.0,"(0.4, 0.45]",-0.561537613979936
7.0,9.0,0.0,5.0,0.0,0.7777777777777777,4782969.0,159744.0,159744.0,0.03339850206012207,1.0,"(-0.001, 0.05]",-0.9666014979398779
7.0,9.0,0.0,0.0,0.1111111111111111,0.5555555555555556,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,1.0,0.0,0.5555555555555556,0.3333333333333333,19321.0,4781568.0,17920.0,0.9274882252471404,0.0037477245957811328,"(0.9, 0.95]",0.9237405006513593
7.0,9.0,0.0,3.0,0.8888888888888888,0.5555555555555556,4782969.0,3954096.0,3954096.0,0.8267032464563329,1.0,"(0.8, 0.85]",-0.17329675354366714
7.0,9.0,0.0,6.0,0.3333333333333333,0.1111111111111111,4782969.0,4503033.0,4503033.0,0.9414723365340648,1.0,"(0.9, 0.95]",-0.05852766346593519
7.0,9.0,1.0,1.0,0.7777777777777777,0.7777777777777777,57.0,3932160.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,2.0,0.6666666666666666,0.2222222222222222,4782969.0,4779705.0,4779705.0,0.9993175786838676,1.0,"(0.95, 1.0]",-0.0006824213161323867
7.0,9.0,1.0,3.0,0.0,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,1.0,0.3333333333333333,1.0,4782969.0,2097152.0,2097152.0,0.4384623860200641,1.0,"(0.4, 0.45]",-0.561537613979936
7.0,9.0,0.0,0.0,0.1111111111111111,0.6666666666666666,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,5.0,0.0,0.8888888888888888,4782969.0,16384.0,16384.0,0.003425487390781751,1.0,"(-0.001, 0.05]",-0.9965745126092183
7.0,9.0,1.0,0.0,0.5555555555555556,0.4444444444444444,19321.0,4763648.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,1.0,1.0,0.7777777777777777,0.8888888888888888,57.0,2097152.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,1.0,0.4444444444444444,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,6.0,0.3333333333333333,0.2222222222222222,4782969.0,3523257.0,3523257.0,0.7366255144032922,1.0,"(0.7, 0.75]",-0.26337448559670784
7.0,9.0,0.0,0.0,0.1111111111111111,0.7777777777777777,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,3.0,0.8888888888888888,0.6666666666666666,4782969.0,2729376.0,2729376.0,0.5706447187928669,1.0,"(0.55, 0.6]",-0.42935528120713307
7.0,9.0,0.0,2.0,0.6666666666666666,0.3333333333333333,4782969.0,4746777.0,4746777.0,0.9924331518770036,1.0,"(0.95, 1.0]",-0.00756684812299635
7.0,9.0,0.0,5.0,0.0,1.0,4782969.0,16384.0,16384.0,0.003425487390781751,1.0,"(-0.001, 0.05]",-0.9965745126092183
7.0,9.0,1.0,3.0,0.0,0.1111111111111111,4782969.0,4780782.0,4780782.0,0.9995427526291724,1.0,"(0.95, 1.0]",-0.00045724737082764033
7.0,9.0,1.0,0.0,0.5555555555555556,0.5555555555555556,19321.0,4763648.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,3.0,0.8888888888888888,0.7777777777777777,4782969.0,1259712.0,1259712.0,0.26337448559670784,1.0,"(0.25, 0.3]",-0.7366255144032922
7.0,9.0,0.0,5.0,0.1111111111111111,0.0,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,1.0,1.0,0.7777777777777777,1.0,57.0,2097152.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,1.0,0.4444444444444444,0.1111111111111111,4782969.0,4782968.0,4782968.0,0.999999790924842,1.0,"(0.95, 1.0]",-2.0907515796420029e-07
7.0,9.0,1.0,0.0,0.5555555555555556,0.6666666666666666,19321.0,4620288.0,0.0,0.0,0.0,"(-0.001, 0.05]",0.0
7.0,9.0,0.0,0.0,0.1111111111111111,0.8888888888888888,4782969.0,4782969.0,4782969.0,1.0,1.0,"(0.95, 1.0]",0.0
7.0,9.0,0.0,6.0,0.3333333333333333,0.3333333333333333,4782969.0,2053593.0,2053593.0,0.42935528120713307,1.0,"(0.4, 0.45]",-0.5706447187928669
7.0,9.0,0.0,2.0,0.6666666666666666,0.4444444444444444,4782969.0,4554697.0,4554697.0,0.9522739955036296,1.0,"(0.95, 1.0]",-0.04772600449637043
7.0,9.0,1.0,3.0,0.0,0.2222222222222222,4782969.0,4750164.0,4750164.0,0.9931412894375856,1.0,"(0.95, 1.0]",-0.006858710562414383
