constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,strat,id
15,0.0,0.3333333333333333,378000,413180,4243,0.011224867724867723,0.010269132097390969,0.00011526964944240704,Random,87f249a0-15
23,0.0,0.6666666666666666,48000,21874,0,0.0,0.0,0.0,Enumeration,87f249a0-23
18,0.4444444444444444,0.5555555555555556,170262,126145,0,0.0,0.0,0.0,Random,d9669406-18
9,0.6666666666666666,0.5555555555555556,348228,672913,3,8.615045315138357e-06,4.4582286268804435e-06,3.840784164582209e-11,Random,8cce13a3-9
15,0.2222222222222222,0.3333333333333333,378000,413180,4243,0.011224867724867723,0.010269132097390969,0.00011526964944240704,Random,d9669406-15
7,0.0,0.5555555555555556,1613472,934345,61138,0.037892197695404695,0.0654340741374974,0.0024794408732338197,Random,87f249a0-7
18,0.5555555555555556,0.5555555555555556,149486,126145,0,0.0,0.0,0.0,Random,d9669406-18
18,0.0,0.6666666666666666,172800,50329,0,0.0,0.0,0.0,Enumeration,87f249a0-18
21,0.0,1.0,72000,1,0,0.0,0.0,0.0,Enumeration,87f249a0-21
8,0.0,0.6666666666666666,1382976,271051,3945,0.002852544078856032,0.01455445654138889,4.151722882810633e-05,Random,87f249a0-8
21,0.0,0.3333333333333333,72000,103259,93,0.0012916666666666669,0.0009006478854143463,1.1633368519935308e-06,Random,d9669406-21
9,0.5555555555555556,0.5555555555555556,815005,672913,1266,0.0015533647032840287,0.001881372480543548,2.922457605006265e-06,Random,8cce13a3-9
6,0.7777777777777777,0.2222222222222222,77038,2222455,784,0.010176795866974741,0.00035276304807071464,3.5899975296274597e-06,Random,d9669406-6
22,0.2222222222222222,0.5555555555555556,60000,61218,0,0.0,0.0,0.0,Random,d9669406-22
8,0.0,0.6666666666666666,1382976,271051,3945,0.002852544078856032,0.01455445654138889,4.151722882810633e-05,Random,8cce13a3-8
16,0.5555555555555556,0.3333333333333333,266061,312331,233,0.000875739022254295,0.0007460034386596271,6.533043219701238e-07,Random,d9669406-16
8,0.0,0.3333333333333333,1382976,1566380,224004,0.1619724420380397,0.1430074439152696,0.023163264920574217,Enumeration,87f249a0-8
14,0.6666666666666666,0.2222222222222222,214930,503893,17,7.909551947145583e-05,3.3737321217004404e-05,2.668470947234332e-09,Random,d9669406-14
14,0.5555555555555556,0.5555555555555556,381698,260248,0,0.0,0.0,0.0,Random,87f249a0-14
12,0.0,0.5555555555555556,635040,389634,1234,0.00194318468127992,0.003167074741937305,6.154211123001125e-06,Random,87f249a0-12
11,0.5555555555555556,0.6666666666666666,626223,162928,7,1.117812664178735e-05,4.296376313463616e-05,4.802543853267177e-10,Random,d9669406-11
14,0.0,0.6666666666666666,453600,93335,0,0.0,0.0,0.0,Random,d9669406-14
14,0.0,0.3333333333333333,453600,495359,6705,0.014781746031746031,0.013535637789966469,0.00020008036018898847,Enumeration,d9669406-14
17,0.5555555555555556,0.3333333333333333,173045,249355,233,0.0013464705712386952,0.0009344107798119148,1.2581566164649434e-06,Random,d9669406-17
