id,constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,success,total_message_count,strat,utility,opponent_utility,transcript
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,0,0.8888888888888888,0.2222222222222222,163,7776,163,1.0,0.020961934156378603,0.020961934156378603,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,6,0.3333333333333333,0.2222222222222222,2235,2400,895,0.4004474272930649,0.3729166666666667,0.1493335197613721,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/11fef073-d57c-4a81-9b5d-8fe4e7c9631c,4,0.4444444444444444,0.6666666666666666,3104,1480,396,0.12757731958762886,0.26756756756756755,0.034135553078852035,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,13,0.3333333333333333,0.3333333333333333,357,256,29,0.08123249299719887,0.11328125,0.009202118347338936,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,5,0.3333333333333333,0.6666666666666666,2809,1327,261,0.09291562833748664,0.1966842501883949,0.018275040690342137,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,14,1.0,0.1111111111111111,1,192,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,10,1.0,1.0,1,1,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,1,0.5555555555555556,1.0,4175,1,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,6,0.2222222222222222,0.6666666666666666,2294,1064,226,0.0985178727114211,0.212406015037594,0.02092578875261388,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,12,0.5555555555555556,0.2222222222222222,375,512,3,0.008,0.005859375,4.6875e-05,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,12,0.4444444444444444,0.4444444444444444,448,498,16,0.03571428571428571,0.0321285140562249,0.0011474469305794606,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/11fef073-d57c-4a81-9b5d-8fe4e7c9631c,3,0.6666666666666666,0.7777777777777777,1720,742,54,0.031395348837209305,0.07277628032345014,0.002284836707829249,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,12,0.5555555555555556,0.3333333333333333,375,512,3,0.008,0.005859375,4.6875e-05,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,3,0.8888888888888888,0.4444444444444444,120,4093,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,9,0.2222222222222222,0.8888888888888888,956,41,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,6,0.1111111111111111,0.6666666666666666,2304,1064,228,0.09895833333333333,0.21428571428571427,0.02120535714285714,False,2,Constrained Linear Concession,-16777216,-16777216,"(A=>B;OFFER;[issue0->2, issue1->0, issue2->0, issue3->2, issue4->0])
(B=>A;EXIT)"
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,4,0.5555555555555556,1.0,2412,1,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,7,0.1111111111111111,0.5555555555555556,1728,1532,332,0.1921296296296296,0.216710182767624,0.04163644715211295,False,2,Constrained Linear Concession,-16777216,-16777216,"(A=>B;OFFER;[issue0->1, issue1->5, issue2->4, issue3->1, issue4->1])
(B=>A;EXIT)"
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,2,0.3333333333333333,0.5555555555555556,5209,4081,2463,0.4728354770589365,0.6035285469247733,0.2853697084038619,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,12,0.5555555555555556,0.8888888888888888,375,26,0,0.0,0.0,0.0,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,0,0.6666666666666666,0.5555555555555556,2868,5561,2221,0.7744072524407253,0.39938859917281067,0.3092894277415664,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,2,0.2222222222222222,0.3333333333333333,5368,5169,3553,0.6618852459016393,0.6873669955503966,0.4549580728745453,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,3,0.1111111111111111,0.4444444444444444,4320,4093,2184,0.5055555555555555,0.533593940874664,0.2697613812199691,False,2,Constrained Linear Concession,-16777216,-16777216,"(A=>B;OFFER;[issue0->0, issue1->1, issue2->5, issue3->4, issue4->0])
(B=>A;EXIT)"
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,3,1.0,0.6666666666666666,1,1977,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,2,0.3333333333333333,1.0,5209,1,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,7,0.1111111111111111,0.4444444444444444,1728,1851,512,0.2962962962962963,0.27660723933009185,0.08195770054224942,False,2,Constrained Linear Concession,-16777216,-16777216,"(A=>B;OFFER;[issue0->1, issue1->5, issue2->4, issue3->1, issue4->1])
(B=>A;EXIT)"
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,9,0.4444444444444444,0.3333333333333333,856,958,121,0.1413551401869159,0.12630480167014613,0.017853832946364116,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,11,0.7777777777777777,0.4444444444444444,110,610,0,0.0,0.0,0.0,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,11,0.6666666666666666,0.1111111111111111,292,640,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,4,0.5555555555555556,0.8888888888888888,2412,76,1,0.0004145936981757877,0.013157894736842105,5.455180239155102e-06,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,5,0.5555555555555556,0.3333333333333333,2020,2876,509,0.25198019801980204,0.17698191933240612,0.04459593907930432,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,12,0.4444444444444444,0.2222222222222222,448,512,20,0.04464285714285714,0.0390625,0.0017438616071428572,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/be939442-842b-4469-8fb4-657c442077d4,11,0.7777777777777777,0.7777777777777777,110,134,0,0.0,0.0,0.0,False,1,Constrained Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/1c35a17b-6c54-4844-9a70-f79f6e17bde9,13,1.0,0.5555555555555556,1,232,0,0.0,0.0,0.0,False,1,Linear Concession,-16777216,-16777216,(A=>B;EXIT)
/home/venteda/Documents/pyneg/results/11fef073-d57c-4a81-9b5d-8fe4e7c9631c,2,0.1111111111111111,0.5555555555555556,5398,4081,2592,0.4801778436457947,0.6351384464592011,0.3049794096373193,False,2,Constrained Linear Concession,-16777216,-16777216,"(A=>B;OFFER;[issue0->0, issue1->2, issue2->5, issue3->4, issue4->0])
(B=>A;EXIT)"
