id,constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,success,total_message_count,n_constraints,n_constraints_discovered,n_constraints_opponent_discovered,strat,utility,opponent_utility,opponent_strat
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,14,0.0,1.0,0,1,0,0.0,0.0,0.0,False,0,14,0,0,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,11,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,11,1,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,7,1.0,1.0,1,1,0,0.0,0.0,0.0,False,7,7,3,2,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,12,1.0,0.0,1,108,0,0.0,0.0,0.0,True,2,12,0,0,Enumeration,84.6,-1000.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,0,0.0,0.0,3125,3125,3125,1.0,1.0,1.0,True,2,0,0,0,Random,53.00000000000001,62.8,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,9,1.0,0.0,1,288,0,0.0,0.0,0.0,False,7,9,3,2,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,1,1.0,0.0,1,2500,0,0.0,0.0,0.0,False,4,1,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,3,1.0,0.0,1,1600,0,0.0,0.0,0.0,False,2,3,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,10,0.0,0.0,144,216,0,0.0,0.0,0.0,False,5,10,2,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,4,1.0,0.0,1,1280,0,0.0,0.0,0.0,True,10,4,4,4,Constrained Random,73.0,43.2,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,2,0.0,1.0,2000,1,0,0.0,0.0,0.0,False,2,2,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,1,0.0,1.0,2500,1,0,0.0,0.0,0.0,False,2,1,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,6,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,6,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,11,1.0,0.0,1,144,0,0.0,0.0,0.0,True,2,11,0,0,Enumeration,84.6,-1000.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,4,0.0,1.0,1280,1,0,0.0,0.0,0.0,False,4,4,1,1,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,11,0.0,1.0,96,1,0,0.0,0.0,0.0,True,3,11,0,0,Enumeration,-793.8,79.2,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,13,1.0,0.0,1,54,0,0.0,0.0,0.0,False,3,13,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,2,1.0,0.0,1,2000,0,0.0,0.0,0.0,False,4,2,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,9,0.0,1.0,288,1,0,0.0,0.0,0.0,False,2,9,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,5,1.0,1.0,1,1,0,0.0,0.0,0.0,False,2,5,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,2,0.0,1.0,2000,1,0,0.0,0.0,0.0,False,4,2,1,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,1,0.0,1.0,2500,1,0,0.0,0.0,0.0,True,3,1,0,0,Enumeration,-167.0,87.6,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,14,0.0,0.0,0,36,0,0.0,0.0,0.0,True,2,14,0,0,Random,-791.0,-786.4,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,7,0.0,0.0,576,540,48,0.08333333333333333,0.08888888888888889,0.007407407407407408,True,2,7,0,0,Random,-352.59999999999997,-582.1999999999999,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,4,1.0,0.0,1,1280,0,0.0,0.0,0.0,False,4,4,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,12,1.0,0.0,1,108,0,0.0,0.0,0.0,False,3,12,1,0,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,7,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,7,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,3,1.0,0.0,1,1600,0,0.0,0.0,0.0,True,2,3,0,0,Enumeration,85.8,-585.5999999999999,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,0,0.0,0.0,3125,3125,3125,1.0,1.0,1.0,True,2,0,0,0,Enumeration,85.8,33.400000000000006,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,6,0.0,1.0,768,1,0,0.0,0.0,0.0,False,2,6,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,8,0.0,1.0,432,1,0,0.0,0.0,0.0,True,3,8,0,0,Enumeration,-1000.0,87.6,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,10,1.0,0.0,1,216,0,0.0,0.0,0.0,False,5,10,2,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,3,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,3,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,0,1.0,0.0,1,3125,1,1.0,0.00032,0.00032,True,2,0,0,0,Enumeration,85.8,33.400000000000006,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,13,0.0,0.0,48,54,0,0.0,0.0,0.0,True,2,13,0,0,Enumeration,84.6,-1000.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,11,1.0,0.0,1,144,0,0.0,0.0,0.0,False,5,11,2,1,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,10,0.0,1.0,144,1,0,0.0,0.0,0.0,False,2,10,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,2,0.0,1.0,2000,1,0,0.0,0.0,0.0,True,3,2,0,0,Enumeration,-371.0,87.6,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,5,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,5,0,0,Enumeration,-16777216.0,-16777216.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,12,1.0,0.0,1,108,0,0.0,0.0,0.0,False,3,12,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,0,0.0,0.0,3125,3125,3125,1.0,1.0,1.0,True,2,0,0,0,Constrained Random,12.000000000000002,40.6,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,3,0.0,0.0,1600,1600,768,0.48,0.48,0.2304,True,2,3,0,0,Enumeration,85.8,-585.5999999999999,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,5,1.0,1.0,1,1,0,0.0,0.0,0.0,False,2,5,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,0,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,0,0,0,Enumeration,-16777216.0,-16777216.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,3,0.0,0.0,1600,1600,768,0.48,0.48,0.2304,True,4,3,1,1,Constrained Random,57.2,63.6,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,3,1.0,0.0,1,1600,0,0.0,0.0,0.0,True,2,3,0,0,Enumeration,85.8,-585.5999999999999,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,8,0.0,0.0,432,432,18,0.04166666666666666,0.04166666666666666,0.001736111111111111,True,2,8,0,0,Random,-176.99999999999997,-169.2,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,5,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,5,0,0,Enumeration,-16777216.0,-16777216.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,3,1.0,0.0,1,1600,0,0.0,0.0,0.0,False,2,3,0,0,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,1,0.0,1.0,2500,1,0,0.0,0.0,0.0,True,3,1,0,0,Enumeration,-167.0,87.6,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/1b9f16e2-c131-4ddf-bd34-bad54ab4e27f,10,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,10,0,0,Enumeration,-16777216.0,-16777216.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,0,1.0,0.0,1,3125,1,1.0,0.00032,0.00032,True,2,0,0,0,Enumeration,85.8,33.400000000000006,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,10,1.0,0.0,1,216,0,0.0,0.0,0.0,True,2,10,0,0,Enumeration,84.6,-1000.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,6,0.0,0.0,768,720,72,0.09375,0.1,0.009375,True,5,6,2,1,Constrained Random,29.800000000000004,25.000000000000004,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/b75d73b7-27d1-4a03-a191-3a1c94213a4f,0,0.0,1.0,3125,1,1,0.00032,1.0,0.00032,False,2,0,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,8,0.0,1.0,432,1,0,0.0,0.0,0.0,False,13,8,6,5,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,1,0.0,1.0,2500,1,0,0.0,0.0,0.0,False,2,1,0,0,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,2,1.0,1.0,1,1,0,0.0,0.0,0.0,False,2,2,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,5,0.0,1.0,1024,1,0,0.0,0.0,0.0,True,13,5,5,5,Constrained Random,14.000000000000002,54.00000000000001,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,1,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,1,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,2,1.0,0.0,1,2000,0,0.0,0.0,0.0,False,2,2,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,10,1.0,1.0,1,1,0,0.0,0.0,0.0,False,2,10,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,13,0.0,0.0,48,54,0,0.0,0.0,0.0,False,3,13,1,0,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,12,0.0,1.0,64,1,0,0.0,0.0,0.0,False,2,12,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,14,1.0,0.0,5,36,0,0.0,0.0,0.0,False,0,14,0,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,4,1.0,1.0,1,1,0,0.0,0.0,0.0,False,2,4,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,14,0.0,0.0,0,36,0,0.0,0.0,0.0,False,2,14,0,0,Enumeration,-16777216.0,-16777216.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,6,0.0,1.0,768,1,0,0.0,0.0,0.0,False,4,6,1,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,8,1.0,0.0,1,432,0,0.0,0.0,0.0,False,4,8,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,10,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,10,1,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/b75d73b7-27d1-4a03-a191-3a1c94213a4f,3,0.0,0.0,1600,1600,768,0.48,0.48,0.2304,True,2,3,0,0,Random,53.8,42.6,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,13,0.0,1.0,48,1,0,0.0,0.0,0.0,True,3,13,0,0,Enumeration,-596.8000000000001,62.800000000000004,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,4,0.0,1.0,1280,1,0,0.0,0.0,0.0,True,3,4,0,0,Enumeration,-788.6,87.6,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/b75d73b7-27d1-4a03-a191-3a1c94213a4f,0,1.0,0.0,1,3125,1,1.0,0.00032,0.00032,True,2,0,0,0,Constrained Enumeration,85.8,33.400000000000006,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,8,1.0,1.0,1,1,0,0.0,0.0,0.0,False,2,8,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,6,1.0,0.0,1,720,0,0.0,0.0,0.0,True,2,6,0,0,Random,85.8,-799.8,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,13,0.0,1.0,48,1,0,0.0,0.0,0.0,False,7,13,3,2,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,3,1.0,0.0,1,1600,0,0.0,0.0,0.0,True,8,3,3,3,Constrained Random,74.2,52.00000000000001,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,13,0.0,1.0,48,1,0,0.0,0.0,0.0,False,4,13,1,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
